instance_id,coverage_group,family,n,seed,operational_level,threshold,random_expectation_anchor,spectral_upper_bound,target_event_count_exact_validation,rho_tau_exact_validation,feasible_exact_validation,realized_quality_ratio_exact_validation,construction_uses_C_star,evidence_label
n12_d75_s73,random_seed_expansion,random_fixed_density,12,73,0.55,182,132.5,220.99299096492305,4,0.0009765625,True,0.978494623655914,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s101,random_seed_expansion,random_fixed_density,12,101,0.25,137,117.5,194.3884906009418,540,0.1318359375,True,0.8058823529411765,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s101,random_seed_expansion,random_fixed_density,12,101,0.4,149,117.5,194.3884906009418,106,0.02587890625,True,0.8764705882352941,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s101,random_seed_expansion,random_fixed_density,12,101,0.55,160,117.5,194.3884906009418,16,0.00390625,True,0.9411764705882353,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s211,random_seed_expansion,random_fixed_density,12,211,0.25,151,132.0,205.63681627984613,722,0.17626953125,True,0.8531073446327684,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s211,random_seed_expansion,random_fixed_density,12,211,0.4,162,132.0,205.63681627984613,188,0.0458984375,True,0.9152542372881356,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s211,random_seed_expansion,random_fixed_density,12,211,0.55,173,132.0,205.63681627984613,20,0.0048828125,True,0.9774011299435028,False,exact post-construction threshold validation on expanded coverage suite
cycle_n8_s17,structured_family,cycle,8,17,0.25,25,20.0,40.0,74,0.2890625,True,0.625,False,exact post-construction threshold validation on expanded coverage suite
cycle_n8_s17,structured_family,cycle,8,17,0.4,28,20.0,40.0,46,0.1796875,True,0.7,False,exact post-construction threshold validation on expanded coverage suite
cycle_n8_s17,structured_family,cycle,8,17,0.55,31,20.0,40.0,28,0.109375,True,0.775,False,exact post-construction threshold validation on expanded coverage suite
cycle_n8_s42,structured_family,cycle,8,42,0.25,24,19.0,38.0,72,0.28125,True,0.631578947368421,False,exact post-construction threshold validation on expanded coverage suite
cycle_n8_s42,structured_family,cycle,8,42,0.4,27,19.0,38.0,44,0.171875,True,0.7105263157894737,False,exact post-construction threshold validation on expanded coverage suite
cycle_n8_s42,structured_family,cycle,8,42,0.55,30,19.0,38.0,26,0.1015625,True,0.7894736842105263,False,exact post-construction threshold validation on expanded coverage suite
cubic_circulant_n8_s17,structured_family,cubic_circulant,8,17,0.25,33,26.0,52.0,48,0.1875,True,0.7021276595744681,False,exact post-construction threshold validation on expanded coverage suite
cubic_circulant_n8_s17,structured_family,cubic_circulant,8,17,0.4,37,26.0,52.0,28,0.109375,True,0.7872340425531915,False,exact post-construction threshold validation on expanded coverage suite
cubic_circulant_n8_s17,structured_family,cubic_circulant,8,17,0.55,41,26.0,52.0,18,0.0703125,True,0.8723404255319149,False,exact post-construction threshold validation on expanded coverage suite
cubic_circulant_n8_s42,structured_family,cubic_circulant,8,42,0.25,35,27.5,55.0,58,0.2265625,True,0.660377358490566,False,exact post-construction threshold validation on expanded coverage suite
cubic_circulant_n8_s42,structured_family,cubic_circulant,8,42,0.4,39,27.5,55.0,44,0.171875,True,0.7358490566037735,False,exact post-construction threshold validation on expanded coverage suite
cubic_circulant_n8_s42,structured_family,cubic_circulant,8,42,0.55,43,27.5,55.0,8,0.03125,True,0.8113207547169812,False,exact post-construction threshold validation on expanded coverage suite
two_community_n8_s17,structured_family,two_community,8,17,0.25,40,32.5,62.28481043615472,70,0.2734375,True,0.7692307692307693,False,exact post-construction threshold validation on expanded coverage suite
two_community_n8_s17,structured_family,two_community,8,17,0.4,45,32.5,62.28481043615472,18,0.0703125,True,0.8653846153846154,False,exact post-construction threshold validation on expanded coverage suite
two_community_n8_s17,structured_family,two_community,8,17,0.55,49,32.5,62.28481043615472,8,0.03125,True,0.9423076923076923,False,exact post-construction threshold validation on expanded coverage suite
two_community_n8_s42,structured_family,two_community,8,42,0.25,44,34.5,69.0,54,0.2109375,True,0.7457627118644068,False,exact post-construction threshold validation on expanded coverage suite
two_community_n8_s42,structured_family,two_community,8,42,0.4,49,34.5,69.0,14,0.0546875,True,0.8305084745762712,False,exact post-construction threshold validation on expanded coverage suite
two_community_n8_s42,structured_family,two_community,8,42,0.55,54,34.5,69.0,6,0.0234375,True,0.9152542372881356,False,exact post-construction threshold validation on expanded coverage suite
cycle_n10_s17,structured_family,cycle,10,17,0.25,27,21.5,43.0,280,0.2734375,True,0.627906976744186,False,exact post-construction threshold validation on expanded coverage suite
cycle_n10_s17,structured_family,cycle,10,17,0.4,31,21.5,43.0,136,0.1328125,True,0.7209302325581395,False,exact post-construction threshold validation on expanded coverage suite
cycle_n10_s17,structured_family,cycle,10,17,0.55,34,21.5,43.0,74,0.072265625,True,0.7906976744186046,False,exact post-construction threshold validation on expanded coverage suite
