instance_id,n,density_target,seed,target_ratio,threshold,marked_count,rho_tau,eps_model,oracle_cost_norm,diffusion_cost_norm,prep_cost_norm,k_star_resource_eff,p_target_eff,expected_repetitions,score,normalized_cost,normalized_resource_per_target_hit,depth_model,eta_res
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.0,4.0,1.0,1.0,7,0.7944952109045791,1.2586608280010168,0.022069311414016086,36.0,45.31178980803661,240.0,0.24337387103925912
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.0,8.0,1.0,1.0,7,0.7944952109045791,1.2586608280010168,0.012413987670384048,64.0,80.55429299206507,240.0,0.4326646596253495
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.0005,1.0,1.0,1.0,7,0.7046540394251795,1.4191361207774364,0.04697693596167863,15.0,21.28704181166155,240.0,0.11263247535276925
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.0005,2.0,1.0,1.0,7,0.7046540394251795,1.4191361207774364,0.03202972906478088,22.0,31.220994657103603,240.0,0.16519429718406156
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.0005,4.0,1.0,1.0,7,0.7046540394251795,1.4191361207774364,0.019573723317366096,36.0,51.08890034798772,240.0,0.27031794084664623
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.0005,8.0,1.0,1.0,7,0.7046540394251795,1.4191361207774364,0.011010219366018429,64.0,90.82471172975593,240.0,0.48056522817181546
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.001,1.0,1.0,1.0,7,0.6249720683814893,1.6000715081391281,0.04166480455876596,15.0,24.001072622086923,240.0,0.12510208544494822
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.001,2.0,1.0,1.0,7,0.6249720683814893,1.6000715081391281,0.028407821290067695,22.0,35.20157317906082,240.0,0.18348305865259074
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.001,4.0,1.0,1.0,6,0.5390734876210214,1.8550346529062074,0.017389467342613592,31.0,57.506074240092424,210.0,0.2997420126368519
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.001,8.0,1.0,1.0,6,0.5390734876210214,1.8550346529062074,0.009801336138564026,55.0,102.0269059098414,210.0,0.5318003450008663
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.002,1.0,1.0,1.0,6,0.4369644764858046,2.2885155517498603,0.033612652037369586,13.0,29.750702172748184,210.0,0.15048814341344874
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.002,2.0,1.0,1.0,6,0.4369644764858046,2.2885155517498603,0.022998130341358138,19.0,43.481795483247346,210.0,0.21994420960427122
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.002,4.0,1.0,1.0,6,0.4369644764858046,2.2885155517498603,0.014095628273735632,31.0,70.94398210424566,210.0,0.35885634198591615
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.002,8.0,1.0,1.0,6,0.4369644764858046,2.2885155517498603,0.007944808663378265,55.0,125.86835534624231,210.0,0.6366806067492061
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.0,1.0,1.0,1.0,26,0.8486721595721104,1.1783113051619216,0.016012682256077555,53.0,62.450499173581846,810.0,0.030493407799600518
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.0,2.0,1.0,1.0,26,0.8486721595721104,1.1783113051619216,0.010742685564203928,79.0,93.08659310779181,810.0,0.04545243804091398
