instance_id,n,target_ratio,threshold,marked_count,rho_tau,eps_model,oracle_cost_norm,k_star,p_target_eff,normalized_cost,normalized_resource_per_target_hit,eta_res
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,0.9576032806985736,3,0.8447030183255713,6.87280984209572,8.136362358121414,0.250475865747573
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,1.189207115002721,3,0.8447030183255713,7.567621345008162,8.958913583627563,0.27579789803448673
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,1.4768261459394993,3,0.8447030183255713,8.430478437818499,9.980405248852994,0.3072442616475676
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,1.8340080864093424,3,0.8447030183255713,9.502024259228028,11.248952653281147,0.34629617396177537
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,2.2775772695133836,3,0.8447030183255713,10.832731808540151,12.82430815745579,0.39479309634558296
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,2.8284271247461903,3,0.8447030183255713,12.485281374238571,14.780675697108032,0.4550193782694359
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,3.5125043207466,3,0.8447030183255713,14.537512962239798,17.21020600951215,0.5298118569687126
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,4.362030930661032,3,0.8447030183255713,17.086092791983095,20.227337207640538,0.6226934809257492
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,5.41702218774757,3,0.8447030183255713,20.25106656324271,23.974185156086897,0.7380392512348664
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,6.727171322029715,2,0.57591642122668,16.45434264405943,28.57071275900123,0.8795421956831774
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,8.35419025941931,0,0.030784748112595715,1.0,32.483618067703,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,10.374716437208077,0,0.030784748112595715,1.0,32.483618067703,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,12.883922655594034,0,0.030784748112595715,1.0,32.483618067703,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0005,16.0,0,0.030784748112595715,1.0,32.483618067703,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,0.5,3,0.8197382713089943,5.5,6.7094586070958435,0.20500567043704504
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,0.620928906036742,3,0.8197382713089943,5.862786718110226,7.152022692253063,0.21852809486828906
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,0.7711054127039704,3,0.8197382713089943,6.313316238111911,7.701624358748711,0.23532102328640278
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,0.9576032806985736,3,0.8197382713089943,6.87280984209572,8.384151481814937,0.2561754526300281
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,1.189207115002721,3,0.8197382713089943,7.567621345008162,9.23175312154677,0.28207368862674376
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,1.4768261459394993,3,0.8197382713089943,8.430478437818499,10.284353839374045,0.3142356153181879
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,1.8340080864093424,3,0.8197382713089943,9.502024259228028,11.591534263802,0.35417615523129237
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,2.2775772695133836,3,0.8197382713089943,10.832731808540151,13.21486648566739,0.40377662674081405
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,2.8284271247461903,3,0.8197382713089943,12.485281374238571,15.230814286981529,0.4653733597674417
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,3.5125043207466,3,0.8197382713089943,14.537512962239798,17.734334812775856,0.5418677438747641
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,4.362030930661032,2,0.5631029933743449,11.724061861322063,20.82045735730627,0.636163373126166
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,5.41702218774757,2,0.5631029933743449,13.83404437549514,24.567520574870063,0.7506538636516236
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,6.727171322029715,2,0.5631029933743449,16.45434264405943,29.220840303934875,0.8928347737187886
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,8.35419025941931,0,0.030554726162291768,1.0,32.728161093262266,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,10.374716437208077,0,0.030554726162291768,1.0,32.728161093262266,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,12.883922655594034,0,0.030554726162291768,1.0,32.728161093262266,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.00075,16.0,0,0.030554726162291768,1.0,32.728161093262266,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.001,0.5,3,0.7955113440705887,5.5,6.913792042055361,0.20967058147174517
n8_d25_s17,8,0.9,36,8,0.03125,0.001,0.620928906036742,3,0.7955113440705887,5.862786718110226,7.369834210170609,0.22350070913290832
n8_d25_s17,8,0.9,36,8,0.03125,0.001,0.7711054127039704,3,0.7955113440705887,6.313316238111911,7.936173739279458,0.24067576121089732
n8_d25_s17,8,0.9,36,8,0.03125,0.001,0.9576032806985736,3,0.7955113440705887,6.87280984209572,8.639486907789301,0.2620047338067169
n8_d25_s17,8,0.9,36,8,0.03125,0.001,1.189207115002721,3,0.7955113440705887,7.567621345008162,9.512901860437404,0.2884922850483367
n8_d25_s17,8,0.9,36,8,0.03125,0.001,1.4768261459394993,3,0.7955113440705887,8.430478437818499,10.597559042565244,0.32138605748043897
n8_d25_s17,8,0.9,36,8,0.03125,0.001,1.8340080864093424,3,0.7955113440705887,9.502024259228028,11.944549037612314,0.3622354457438126
n8_d25_s17,8,0.9,36,8,0.03125,0.001,2.2775772695133836,3,0.7955113440705887,10.832731808540151,13.617319085746342,0.41296457767710604
